league,sc_player_id,player_name_sc,team_name_sc,best_sb_name,best_sb_team,best_sb_id,best_dist,same_team,common_tokens,sc_in_sb,sb_in_sc,sc_tokens,sb_tokens
LaLiga,35630,Moriba Kourouma Kourouma,RC Celta de Vigo,Lancinet Kourouma Kourouma,Girona,432491,0.2741452991452992,FALSE,1,FALSE,FALSE,moriba|kourouma|kourouma,lancinet|kourouma|kourouma
LaLiga,53346,Gerard Fernández Castellano,Sevilla FC,Aarón Escandell,Real Oviedo,25704,0.3017636684303352,FALSE,0,FALSE,FALSE,gerard|fernandez|castellano,aaron|escandell
LaLiga,62275,Roger Brugué Ayguadé,Levante UD,Gorka Guruzeta,Athletic Club,12553,0.32748917748917755,FALSE,0,FALSE,FALSE,roger|brugue|ayguade,gorka|guruzeta
LaLiga,69308,Juan Luis Sánchez Velasco,Sevilla FC,Juanlu,Sevilla,41084,0.2533333333333333,TRUE,0,FALSE,FALSE,juan|luis|sanchez|velasco,juanlu
LaLiga,69391,Enrique Jesús Salas Valiente,Sevilla FC,Nelson Alexander Deossa Suárez,Real Betis,130953,0.31825396825396834,FALSE,0,FALSE,FALSE,enrique|jesus|salas|valiente,nelson|alexander|deossa|suarez
LaLiga,117268,Andrés  López Gallo,Sevilla FC,Fer López,Celta Vigo,346691,0.263888888888889,FALSE,1,FALSE,FALSE,andres|lopez|gallo,fer|lopez
LaLiga,120550,Youssef Enriquez Lekhedim,Deportivo Alavés,Yusi,Deportivo Alavés,255811,0.27999999999999997,TRUE,0,FALSE,FALSE,youssef|enriquez|lekhedim,yusi
LaLiga,142458,Alexandre Zurawski,Rayo Vallecano,Alexander Freeman,Villarreal,224439,0.2369281045751635,FALSE,0,FALSE,FALSE,alexandre|zurawski,alexander|freeman
LaLiga,531625,Alejandro  San Cristóbal Sánchez,Getafe CF,Alejandro Francés,Girona,34830,0.21214816571790018,FALSE,1,FALSE,FALSE,alejandro|san|cristobal|sanchez,alejandro|frances
LaLiga,892503,Joaquin Martínez Gauna,Sevilla FC,Toni Martínez,Deportivo Alavés,24257,0.2327117327117328,FALSE,1,FALSE,FALSE,joaquin|martinez|gauna,toni|martinez
LaLiga 2,246,Adrián Embarba Blázquez,UD Almería,Arana,Racing Santander,185955,0.2608695652173913,FALSE,0,FALSE,FALSE,adrian|embarba|blazquez,arana
LaLiga 2,2083,Francisco José Sánchez Rodríguez,Burgos CF,Francisco Montero,Málaga,21207,0.23852124183006548,FALSE,1,FALSE,FALSE,francisco|jose|sanchez|rodriguez,francisco|montero
LaLiga 2,6140,Leonardo Carrilho Baptistão,UD Almería,Leonardo Buta,Eibar,178618,0.2524928774928775,FALSE,1,FALSE,FALSE,leonardo|carrilho|baptistao,leonardo|buta
LaLiga 2,9733,Sergio Enrich Ametller,Sociedad Deportiva Huesca,Sergi Enrich,Huesca,6700,0.15151515151515157,FALSE,1,FALSE,FALSE,sergio|enrich|ametller,sergi|enrich
LaLiga 2,10938,Joaquín Navarro Jiménez,RC Deportivo de La Coruña,Joaquín Muñoz,Málaga,23214,0.22672798216276485,FALSE,1,FALSE,FALSE,joaquin|navarro|jimenez,joaquin|munoz
LaLiga 2,11612,Gregorio Sierra Pérez,Burgos CF,Grego Sierra,Burgos,25830,0.21230158730158732,TRUE,1,FALSE,FALSE,gregorio|sierra|perez,grego|sierra
LaLiga 2,13411,Antonio Moya Vega,Real Zaragoza,Antonino,FC Andorra,408856,0.23774509803921579,FALSE,0,FALSE,FALSE,antonio|moya|vega,antonino
LaLiga 2,13424,Alberto Rodríguez Baró,Real Zaragoza,Álvaro Rodríguez,Eibar,76445,0.16287878787878796,FALSE,1,FALSE,FALSE,alberto|rodriguez|baro,alvaro|rodriguez
LaLiga 2,13970,Sergio Guardiola Navarro,Cordoba CF,Sergi Guardiola,Córdoba CF,17027,0.2138888888888889,TRUE,1,FALSE,FALSE,sergio|guardiola|navarro,sergi|guardiola
LaLiga 2,13992,Daniel Ojeda Saranova,Sociedad Deportiva Huesca,Dani Ojeda,Huesca,11747,0.24126984126984136,FALSE,1,FALSE,FALSE,daniel|ojeda|saranova,dani|ojeda
LaLiga 2,22137,Alejandro Centelles Plaza,UD Almería,Alejandro Lizancos,Burgos,407000,0.21953703703703706,FALSE,1,FALSE,FALSE,alejandro|centelles|plaza,alejandro|lizancos
LaLiga 2,23204,Javier Ontiveros Parra,Cadiz CF,Javi Ontiveros,Cádiz,20063,0.2164502164502165,TRUE,1,FALSE,FALSE,javier|ontiveros|parra,javi|ontiveros
LaLiga 2,23767,José Antonio Rodríguez Díaz,Albacete Balompie,José Antonio Caro,Las Palmas,24920,0.18666031227305735,FALSE,2,FALSE,FALSE,jose|antonio|rodriguez|diaz,jose|antonio|caro
LaLiga 2,24628,José Sánchez Martínez,Albacete Balompie,José Arnáiz,Granada,6810,0.21933621933621936,FALSE,1,FALSE,FALSE,jose|sanchez|martinez,jose|arnaiz
LaLiga 2,25594,Alejandro José Muñoz Miguel,UD Almería,Alejandro Lizancos,Burgos,407000,0.2481481481481482,FALSE,1,FALSE,FALSE,alejandro|jose|munoz|miguel,alejandro|lizancos
LaLiga 2,25636,Daniel Escriche Romero,Albacete Balompie,Daniel Esmorís Tasende,Real Zaragoza,299061,0.24431818181818185,FALSE,1,FALSE,FALSE,daniel|escriche|romero,daniel|esmoris|tasende
LaLiga 2,25704,José Manuel Hernando Riol,Racing Santander,Saúl,Burgos,299103,0.27999999999999997,FALSE,0,FALSE,FALSE,jose|manuel|hernando|riol,saul
